round,active_nodes,isolated_nodes,baseline_fedavg_acc,baseline_fedavg_loss,conclave_robust_acc,conclave_robust_loss,detected_anomalies,isolation_event
1,10,3,0.12,2.18,0.2927,2.0073,3,ISOLATED_BYZANTINE_3_NODES
2,7,3,0.1458,2.1542,0.3466,1.9534,0,None
3,7,3,0.1153,2.1847,0.4172,1.8828,0,None
4,7,3,0.1405,2.1595,0.4756,1.8244,0,None
5,7,3,0.1284,2.1716,0.5416,1.7584,0,None
6,7,3,0.1382,2.1618,0.5997,1.7003,0,None
7,7,3,0.1729,2.1271,0.6632,1.6368,0,None
8,7,3,0.1028,2.1972,0.6846,1.6154,0,None
9,7,3,0.1381,2.1619,0.7754,1.5246,0,None
10,7,3,0.1669,2.1331,0.848,1.452,0,None
