domain,dataset,model,round,metric_name,metric_value,round_latency_sec,governance_latency_ms
Healthcare,MedMNIST PathMNIST,MedMNIST-CNN,1,Accuracy,12.33,2.35,15.4
Healthcare,MedMNIST PathMNIST,MedMNIST-CNN,2,Accuracy,11.55,2.19,13.41
Healthcare,MedMNIST PathMNIST,MedMNIST-CNN,3,Accuracy,11.53,2.4,13.4
Healthcare,MedMNIST PathMNIST,MedMNIST-CNN,4,Accuracy,11.57,2.28,13.41
Healthcare,MedMNIST PathMNIST,MedMNIST-CNN,5,Accuracy,11.53,2.32,14.4
Financial Services,Credit Card Fraud,Fraud-MLP,1,AUROC,63.36,0.31,8.1
Financial Services,Credit Card Fraud,Fraud-MLP,2,AUROC,73.58,0.25,9.01
Financial Services,Credit Card Fraud,Fraud-MLP,3,AUROC,77.84,0.27,8.1
Financial Services,Credit Card Fraud,Fraud-MLP,4,AUROC,80.73,0.27,9.13
Financial Services,Credit Card Fraud,Fraud-MLP,5,AUROC,82.57,0.28,9.1
